sample,cluster,methylation_class
SAMPLE 474,13,"MB, G4"
SAMPLE 475,13,"MB, SHH INF"
SAMPLE 476,13,"MB, G4"
SAMPLE 477,13,"MB, G3"
SAMPLE 478,13,"MB, SHH CHL AD"
SAMPLE 479,13,"MB, G4"
SAMPLE 480,13,"MB, G3"
SAMPLE 481,13,"MB, G3"
SAMPLE 482,13,"MB, WNT"
SAMPLE 483,13,"MB, WNT"
SAMPLE 484,1,"MB, SHH INF"
SAMPLE 485,13,"MB, G3"
SAMPLE 486,13,"MB, SHH CHL AD"
SAMPLE 487,13,"MB, G4"
SAMPLE 488,1,"MB, SHH INF"
SAMPLE 489,1,"MB, SHH INF"
SAMPLE 490,13,"MB, G4"
SAMPLE 491,13,"MB, G3"
SAMPLE 492,13,"MB, SHH CHL AD"
SAMPLE 493,13,"MB, G4"
SAMPLE 494,13,"MB, G4"
SAMPLE 495,13,"MB, G4"
SAMPLE 496,13,"MB, WNT"
SAMPLE 497,13,"MB, G4"
SAMPLE 498,13,"MB, WNT"
SAMPLE 499,13,"MB, G3"
SAMPLE 500,13,"MB, G4"
SAMPLE 501,1,"MB, SHH INF"
SAMPLE 502,13,"MB, G4"
SAMPLE 503,13,"MB, SHH CHL AD"
SAMPLE 504,13,"MB, WNT"
SAMPLE 505,13,"MB, SHH CHL AD"
SAMPLE 506,13,"MB, G4"
SAMPLE 507,13,"MB, G4"
SAMPLE 508,13,"MB, G4"
SAMPLE 509,13,"MB, SHH INF"
SAMPLE 510,13,"MB, G3"
SAMPLE 511,13,"MB, G4"
SAMPLE 512,13,"MB, WNT"
SAMPLE 513,13,"MB, G4"
SAMPLE 514,13,"MB, G3"
SAMPLE 515,13,"MB, G3"
SAMPLE 516,13,"MB, G4"
SAMPLE 517,13,"MB, G3"
SAMPLE 518,13,"MB, G4"
SAMPLE 519,13,"MB, G4"
SAMPLE 520,13,"MB, G3"
SAMPLE 521,13,"MB, WNT"
SAMPLE 522,13,"MB, SHH CHL AD"
SAMPLE 523,13,"MB, G4"
SAMPLE 524,13,"MB, G4"
SAMPLE 525,13,"MB, G3"
SAMPLE 526,13,"MB, G4"
SAMPLE 527,13,"MB, G4"
SAMPLE 528,1,"MB, SHH INF"
SAMPLE 529,13,"MB, G3"
SAMPLE 530,1,"MB, SHH INF"
SAMPLE 531,13,"MB, G4"
SAMPLE 532,13,"MB, G3"
SAMPLE 533,13,"MB, G4"
SAMPLE 534,13,"MB, G4"
SAMPLE 535,13,"MB, G4"
SAMPLE 536,1,"MB, SHH INF"
SAMPLE 537,13,"MB, G4"
SAMPLE 538,13,"MB, G3"
SAMPLE 539,13,"MB, SHH CHL AD"
SAMPLE 540,13,"MB, G3"
SAMPLE 541,13,"MB, SHH CHL AD"
SAMPLE 542,13,"MB, G3"
SAMPLE 543,13,"MB, G4"
SAMPLE 544,13,"MB, G4"
SAMPLE 545,13,"MB, G3"
SAMPLE 546,13,"MB, G3"
SAMPLE 547,13,"MB, G4"
SAMPLE 548,13,"MB, G3"
SAMPLE 549,13,"MB, G4"
SAMPLE 550,13,"MB, G4"
SAMPLE 551,13,"MB, G4"
SAMPLE 552,13,"MB, G4"
SAMPLE 553,13,"MB, SHH CHL AD"
SAMPLE 554,13,"MB, SHH CHL AD"
SAMPLE 555,13,"MB, G3"
